id,province,municipality,name,lat,lng,type,openAllYear,paid,free,warning,codes,rawTags
2f97dcc7acfb6cf3,A CORUÑA,A Capela,Parking Fraga do Eume,43.42972,-8.05944,PK,1,1,0,0,PN|AL|RT|WI,(PK)@€/Pn/Al/Rt/Wi
c94805f295905494,A CORUÑA,A Coruña,Área de O Portiño,43.37167,-8.44472,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
97598abb68560acd,A CORUÑA,A Coruña [Marina],Área de Marina-Coruña,43.36972,-8.38778,PR,1,1,0,0,PN|AL|AG|AN|CE|RT|VG|WI,(PR)@€/Pn/Al/Ag/An/Ce/Rt/Vg/Wi
3e9e69670da798f7,A CORUÑA,A Coruña [Yakart],Area de Yakart-A Coruña,43.33222,-8.42472,PR,1,1,0,0,PN|AL|AG|AN|CE|RT|SM|GA|VG,(PR)@€/Pn/Al/Ag/An/Ce/Rt/Sm/Ga/Vg
cb01cb6d851d58b4,A CORUÑA,A Laracha,Área de E. S. O Corgo,43.23056,-8.46778,RU,1,0,1,0,PN|AL|AG|AN|GA,(RU)@#/Pn/Al/Ag/An/Ga
544e88996793ca91,A CORUÑA,A Laracha,Área de O Regado,43.24972,-8.61694,PU,1,0,1,0,PN|AL|AG|AN|PI|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ga
92fa765c1cbabee4,A CORUÑA,A Pobra de Caramiñal,Apartadiño Camper Park,42.59,-8.93556,PR,1,1,0,0,PN|AL|AG|AN|SM,(PR)@€/Pn/Al/Ag/An/Sm
be8ace45a84805cb,A CORUÑA,Abegondo,Área de Abegondo,43.18306,-8.30667,PU,1,0,1,0,PN|AL|AG|AN|PI|JU,(PU)@#/Pn/Al/Ag/An/Pi/Ju
9bb536cd9d73abed,A CORUÑA,As Pontes,Área de As Pontes,43.45111,-7.85472,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
651c4c0e1b5697f1,A CORUÑA,As Somozas,Área de O Carballo,43.5375,-7.93861,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga
c6343a39824990d6,A CORUÑA,Berdeogas [Repsol],Área de Galuresa - Berdeogas,43.03194,-9.11278,RU,1,1,0,0,PN|AL|AG|AN|GA,(RU)@€/Pn/Al/Ag/An/Ga
2fc4cdf9b2c2e477,A CORUÑA,Bergondo,Parking de Bergondo,43.32444,-8.20944,PK,1,0,1,0,PN|PI|JU|RT,(PK)@#/Pn/Pi/Ju/Rt
036d01c448681fda,A CORUÑA,Bertamirans,Área de Bertamirans,42.86,-8.64833,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
793d83743151e64c,A CORUÑA,Betanzos,Área de Betanzos,43.28389,-8.21389,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
e28b897cc270f809,A CORUÑA,Boiro [Playa Mañons],Área de Playa Mañóns,42.63306,-8.85306,PU,1,0,1,0,PN|AL|AG|AN|PI,(PU)@#/Pn/Al/Ag/An/Pi
f395eeebee6556fd,A CORUÑA,Boiro [Playa Xardín],Área de Playa Xardín,42.64167,-8.89694,PU,1,1,0,0,PN|AL|AG|AN|PI|JU|RT|SM,(PU)@€/Pn/Al/Ag/An/Pi/Ju/Rt/Sm
0cb56edcd32f09c7,A CORUÑA,Brandoñas,Área de Santa María de Brandoñas,43.00333,-8.96333,CP,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|VG|WI,(CP)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Vg/Wi
06cad31546281f0f,A CORUÑA,Caion,Área de Xermaña,43.31694,-8.59417,PU,1,0,1,0,PN|AL|AG|AN|RT|SM,(PU)@#/Pn/Al/Ag/An/Rt/Sm
3bb7107cc5603c2f,A CORUÑA,Camariñas,Parking del Puerto Deportivo,43.12667,-9.18306,PK,1,0,1,0,PN|RT|SM,(PK)@#/Pn/Rt/Sm
e31618c5faa4ae9b,A CORUÑA,Cariño,Area de Cariño,43.73361,-7.87444,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm/Ga
0fbb2f5918685308,A CORUÑA,Carnota,Área de Lombans,42.84111,-9.09667,PU,1,0,1,0,PN|AL|AG|AN|PI|JU,(PU)@#/Pn/Al/Ag/An/Pi/Ju
49aa46057f548815,A CORUÑA,Carral,Area de Carral-Repsol,43.22583,-8.35611,RU,1,0,1,0,PN|AL|AG|AN|RT|GA,(RU)@#/Pn/Al/Ag/An/Rt/Ga
2ce4d30058cac069,A CORUÑA,Cedeira,Parking del Puerto,43.65833,-8.06,PK,1,0,1,0,PN|RT|SM,(PK)@#/Pn/Rt/Sm
3104440fd687beb0,A CORUÑA,Cee,Área de Bazarra,42.96639,-9.19333,RU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(RU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
99ba3ee1dbaf98a5,A CORUÑA,Corme,Área de Corme,43.26722,-8.95417,PU,1,0,1,0,PN|AL|AG|AN,(PU)@#/Pn/Al/Ag/An
f0ef2cdadb4a5ce9,A CORUÑA,Dumbría,Área de Berdeogas,43.03306,-9.10306,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Ga
253545f3a98cc08f,A CORUÑA,Fene,Área de Ortegal Oil,43.45028,-8.17028,RU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(RU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
312f5abaaf13bb7d,A CORUÑA,Ferrol,Área de Ferrol,43.49333,-8.23972,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm/Ga
d83371beac318a06,A CORUÑA,Fisterra,Área de O Campo,42.91111,-9.26333,PR,1,1,0,0,PN|AL|AG|AN|CE|RT|SM|GA|VG|WI,(PR)@€/Pn/Al/Ag/An/Ce/Rt/Sm/Ga/Vg/Wi
